instance,bestsol,commit,time,optimal,score
S_abs1n10_2_H6,9300.75,v10-2-g2ae249a,811.68,False,0.0086021967860006
S_abs1n10_2_L3,2186.79,v9,5.362,False,0
S_abs1n10_2_L6,5599.11,v6,121.857,True,0.0007144043564277
S_abs1n10_3_H3,4722.42,v10-2-g2ae249a,8.862,False,0
S_abs1n10_3_H6,10755.37,v4,462.424,False,0.10713095665804
S_abs1n10_3_L3,2656.21,v9,46.49,False,0
S_abs1n10_3_L6,7065.91,v1,1117.839,False,0.21288062516842
S_abs1n10_4_H3,5237.42,v6,45.391,False,0
S_abs1n10_4_H6,12118.78,v4,1131.564,False,0.5258228891807
S_abs1n10_4_L3,3185.54,v9,108.441,False,0
S_abs1n10_4_L6,8476.66,v4,1560.52,False,1.4652422419726
S_abs1n10_5_H3,5712.99,v10-2-g2ae249a,299.583,False,0
S_abs1n10_5_H6,13705.83,v5,1554.451,False,1.9090525151163
S_abs1n10_5_L3,3652.38,v7.2,146.318,False,0
S_abs1n10_5_L6,9960.81,v4.1,1066.849,False,1.7891358130666
S_abs1n15_2_H3,4802.57,v9,18.517,False,0.0083295676746031
S_abs1n15_2_H6,11579.09,v10-2-g2ae249a,161.224,False,0
S_abs1n15_2_L3,2203.37,v9,4.664,False,0.0018154339114007
S_abs1n15_2_L6,5884.52,v9,585.471,False,0
S_abs1n15_3_H3,5289.53,v9,106.698,False,0
S_abs1n15_3_H6,12472.05,v4.1,1205.836,False,0.0003207181520803
S_abs1n15_3_L3,2690.08,v9,83.557,False,0
S_abs1n15_3_L6,6767.1,v4.1,491.01,False,0.13184003409199
S_abs1n15_4_H3,5658.34,v10-2-g2ae249a,77.904,False,0.0070697108841777
S_abs1n15_4_H6,13463.54,v6,441.365,False,0.64918851435705
S_abs1n15_4_L3,3072.79,v9,73.881,False,0.0013017655194902
S_abs1n15_4_L6,7820.8,v6,1108.746,False,2.078028189971
S_abs1n15_5_H3,6071.3,v6,447.484,False,0.016473650396187
S_abs1n15_5_H6,14474.61,v5,276.766,False,0.33626551874728
S_abs1n15_5_L3,3487.19,v6,609.159,False,0.0020073871848547
S_abs1n15_5_L6,8810.87,v6,1536.822,False,1.7405030403666
S_abs1n20_2_H3,6243.35,v9,38.863,False,0.0096111489327644
S_abs1n20_2_H6,14248.91,v9,1127.262,False,0.080702823966705
S_abs1n20_2_L3,2792.02,v9,157.655,False,0.0021490279230374
S_abs1n20_2_L6,7270.78,v4.2,1389.005,False,0.15055407480871
S_abs1n20_3_H3,6922.43,v4.1,173.485,False,0.33365171804547
S_abs1n20_3_H6,15754.25,v4.2,1044.138,False,0.79688029840623
S_abs1n20_3_L3,3480.38,v4.1,486.195,False,0
S_abs1n20_3_L6,8712.41,v3,1266.443,False,0.62320623206231
S_abs1n20_4_H3,7475.64,v4,1069.818,False,0.31965345378713
S_abs1n20_4_H6,17546.8,v4.1,1303.805,False,2.3637205818353
S_abs1n20_4_L3,4051.4,v4.1,91.183,False,0.71445262587442
S_abs1n20_4_L6,10655.47,v4,1032.818,False,4.2354609929078
S_abs1n20_5_H3,7733.01,v7.2,1555.709,False,0.43913653366585
S_abs1n20_5_H6,19466.36,v4,1343.527,False,3.5896508051384
S_abs1n20_5_L3,4360.45,v3,689.857,False,1.8932427916802
